Data da Venda,Nome do Produto,Quantidade Vendida,Valor Unitário (R$),Valor Total (R$),Franquia,Nome do Vendedor,Localização da Franquia,Canal de Venda
2024-05-15,Chocolate Com Menta,18,38.09,685.62,ChocoFranq 6,Fernando Silva,PE,Online
2024-03-30,Chocolate Com Amêndoas,5,42.75,213.75,ChocoFranq 3,Isaac Costa,RJ,Franquia
2024-04-09,Chocolate Branco,2,5.66,11.32,ChocoFranq 1,Nicolas Rezende,DF,Online
2023-01-05,Chocolate Meio Amargo,2,39.62,79.24,ChocoFranq 3,Isaac Costa,RS,Online
2023-06-27,Chocolate Recheado,20,44.3,886.0,ChocoFranq 2,João Gabriel Cavalcanti,MG,Franquia
2023-04-12,Chocolate Ao Leite,18,6.14,110.52,ChocoFranq 7,Juliana Farias,RS,Franquia
2023-12-22,Chocolate Com Avelã,12,22.03,264.36,ChocoFranq 1,Marcela Dias,DF,Online
2023-08-12,Chocolate Com Avelã,16,49.08,785.28,ChocoFranq 2,Davi Lucca da Cunha,RJ,Franquia
2023-02-06,Chocolate Com Avelã,20,42.67,853.4,ChocoFranq 7,Rafael Moura,MG,Franquia
2024-04-05,Chocolate Recheado,9,11.23,101.07,ChocoFranq 8,Maria Fernanda Costa,SC,Online
2024-01-29,Chocolate Zero Açúcar,10,22.48,224.8,ChocoFranq 6,Rafael Moura,RJ,Online
2023-03-13,Chocolate Diet,7,37.67,263.69,ChocoFranq 1,Catarina Farias,CE,Franquia
2023-06-25,Chocolate Vegano,16,36.23,579.68,ChocoFranq 6,João Gabriel Cavalcanti,MG,Franquia
2024-02-25,Chocolate Recheado,13,16.35,212.55,ChocoFranq 3,Luiz Gustavo Carvalho,SP,Franquia
2023-03-24,Chocolate 70% Cacau,16,5.44,87.04,ChocoFranq 9,Sr. Breno Silva,MG,Online
2024-04-09,Chocolate Meio Amargo,4,47.55,190.2,ChocoFranq 1,Marcela Dias,RJ,Online
2023-12-06,Chocolate Vegano,5,39.21,196.05,ChocoFranq 6,Juliana Farias,DF,Online
2024-04-17,Chocolate Com Castanha,1,13.69,13.69,ChocoFranq 9,Lorenzo Silva,MG,Franquia
2023-06-29,Chocolate Com Avelã,5,13.73,68.65,ChocoFranq 9,Rafael Moura,PR,Online
2023-03-25,Chocolate Com Avelã,6,13.09,78.54,ChocoFranq 4,Maria Fernanda Costa,BA,Franquia
2023-03-19,Chocolate Branco,15,27.99,419.85,ChocoFranq 3,Calebe Freitas,RS,Franquia
2023-06-26,Chocolate Vegano,6,18.58,111.48,ChocoFranq 9,Valentina Teixeira,RJ,Online
2023-10-15,Chocolate Com Morango,3,49.34,148.02,ChocoFranq 5,Sr. Breno Silva,CE,Franquia
2023-11-16,Chocolate Com Castanha,19,41.1,780.9,ChocoFranq 10,Alexandre Freitas,MG,Franquia
2023-10-12,Chocolate Com Castanha,20,20.05,401.0,ChocoFranq 3,Guilherme Porto,SC,Online
2024-02-15,Chocolate Com Castanha,8,49.47,395.76,ChocoFranq 2,Valentina Teixeira,RS,Online
2023-09-21,Chocolate Meio Amargo,8,31.57,252.56,ChocoFranq 5,Kamilly Sales,MG,Online
2023-01-12,Chocolate Com Morango,16,43.77,700.32,ChocoFranq 3,Fernando Silva,CE,Franquia
2023-02-04,Chocolate 70% Cacau,7,9.2,64.4,ChocoFranq 1,Rafaela Peixoto,SC,Online
2023-05-17,Chocolate Com Morango,16,12.08,193.28,ChocoFranq 4,Henrique Araújo,PR,Franquia
2023-09-14,Chocolate Com Amêndoas,14,27.0,378.0,ChocoFranq 4,Henrique Araújo,SC,Online
2023-06-15,Chocolate Recheado,8,36.13,289.04,ChocoFranq 5,Dr. Ryan Caldeira,CE,Franquia
2023-05-08,Chocolate Vegano,8,43.27,346.16,ChocoFranq 1,João Gabriel Cavalcanti,BA,Franquia
2023-07-14,Chocolate Com Menta,3,24.77,74.31,ChocoFranq 9,Isaac Costa,BA,Online
2023-12-30,Chocolate Meio Amargo,2,29.4,58.8,ChocoFranq 8,Juliana Farias,DF,Franquia
2024-04-01,Chocolate Trufado,8,19.72,157.76,ChocoFranq 10,Sr. Breno Silva,RJ,Online
2024-01-26,Chocolate Com Caramelo,19,24.5,465.5,ChocoFranq 1,Davi Lucca da Cunha,DF,Franquia
2023-12-09,Chocolate Trufado,10,31.03,310.3,ChocoFranq 10,Dr. Ryan Caldeira,RJ,Online
2023-11-17,Chocolate Ao Leite,12,27.21,326.52,ChocoFranq 6,Leandro Oliveira,SP,Online
2024-03-28,Chocolate Com Avelã,8,36.11,288.88,ChocoFranq 2,Nicole Rodrigues,PR,Online
2024-03-07,Chocolate Recheado,19,43.3,822.7,ChocoFranq 9,Dr. Ryan Caldeira,DF,Online
2023-11-30,Chocolate Trufado,14,19.95,279.3,ChocoFranq 5,Nicolas Rezende,SP,Franquia
2023-04-11,Chocolate Zero Açúcar,3,30.45,91.35,ChocoFranq 7,Nicolas Rezende,BA,Franquia
2023-07-06,Chocolate Diet,3,27.49,82.47,ChocoFranq 10,Leandro Oliveira,PE,Online
2024-03-10,Chocolate Com Avelã,8,27.68,221.44,ChocoFranq 7,Alexandre Freitas,CE,Franquia
2024-04-19,Chocolate Com Morango,10,19.71,197.1,ChocoFranq 6,Leandro Moreira,CE,Franquia
2023-04-18,Chocolate Zero Açúcar,14,37.83,529.62,ChocoFranq 7,Leandro Oliveira,SC,Online
2024-01-20,Chocolate Com Menta,14,28.5,399.0,ChocoFranq 1,Alexandre Freitas,SC,Franquia
2024-02-12,Chocolate Branco,8,32.11,256.88,ChocoFranq 5,Maria Fernanda Costa,PE,Online
2023-01-24,Chocolate Com Morango,11,20.05,220.55,ChocoFranq 7,Leandro Moreira,SP,Online
2024-04-17,Chocolate Com Caramelo,20,28.25,565.0,ChocoFranq 10,João Gabriel Cavalcanti,MG,Online
2023-04-13,Chocolate Com Morango,12,13.89,166.68,ChocoFranq 2,Lorenzo Silva,MG,Online
2024-04-25,Chocolate Diet,16,26.89,430.24,ChocoFranq 9,Rafaela Peixoto,CE,Online
2023-01-26,Chocolate Ao Leite,17,47.01,799.17,ChocoFranq 8,Marcela Dias,RS,Franquia
2023-10-19,Chocolate Com Amêndoas,3,44.67,134.01,ChocoFranq 6,Juliana Farias,CE,Online
2023-10-31,Chocolate Branco,19,30.01,570.19,ChocoFranq 2,Rafael Moura,SC,Online
2023-07-05,Chocolate Branco,4,24.83,99.32,ChocoFranq 7,Rafael Moura,RJ,Online
2023-12-01,Chocolate Zero Açúcar,2,30.27,60.54,ChocoFranq 3,Kamilly Sales,DF,Franquia
2023-01-29,Chocolate Recheado,14,13.49,188.86,ChocoFranq 6,Leandro Moreira,RS,Franquia
2023-09-13,Chocolate Recheado,16,11.67,186.72,ChocoFranq 3,Alexandre Freitas,BA,Online
2024-03-10,Chocolate Diet,9,22.76,204.84,ChocoFranq 7,Marcela Dias,CE,Franquia
2023-09-14,Chocolate Com Amêndoas,1,35.65,35.65,ChocoFranq 5,Kamilly Sales,MG,Online
2023-02-24,Chocolate Com Castanha,14,7.17,100.38,ChocoFranq 9,Lorenzo Silva,PE,Franquia
2024-05-09,Chocolate Diet,9,22.52,202.68,ChocoFranq 7,Luiz Gustavo Carvalho,SP,Online
2023-04-10,Chocolate 70% Cacau,20,37.13,742.6,ChocoFranq 1,Isadora Moura,CE,Online
2023-01-29,Chocolate Vegano,5,18.27,91.35,ChocoFranq 7,Henrique Araújo,CE,Franquia
2023-03-07,Chocolate Trufado,10,17.0,170.0,ChocoFranq 8,Dr. Enzo Gabriel Fogaça,MG,Online
2024-02-03,Chocolate Ao Leite,6,19.71,118.26,ChocoFranq 8,Davi Lucas Costa,RS,Online
2023-11-06,Chocolate Diet,14,48.89,684.46,ChocoFranq 8,Olivia da Mota,CE,Online
2023-12-11,Chocolate Branco,7,27.2,190.4,ChocoFranq 6,Fernando Silva,RJ,Online
2023-08-08,Chocolate Ao Leite,1,24.06,24.06,ChocoFranq 2,Ana Júlia Santos,SP,Online
2024-04-06,Chocolate Meio Amargo,10,14.87,148.7,ChocoFranq 3,Lorenzo Silva,PE,Online
2023-11-06,Chocolate Zero Açúcar,17,22.67,385.39,ChocoFranq 8,Maria Fernanda Costa,PE,Online
2023-06-25,Chocolate Com Menta,12,39.39,472.68,ChocoFranq 9,Juliana Pinto,DF,Franquia
2024-04-06,Chocolate Com Avelã,18,47.46,854.28,ChocoFranq 8,Lorenzo Silva,MG,Online
2024-05-04,Chocolate Ao Leite,18,31.23,562.14,ChocoFranq 10,Kamilly Sales,PE,Franquia
2023-04-13,Chocolate Branco,17,40.72,692.24,ChocoFranq 7,Kamilly Sales,PE,Online
2023-06-06,Chocolate Branco,7,38.85,271.95,ChocoFranq 1,Maria Fernanda Costa,MG,Franquia
2023-04-10,Chocolate Meio Amargo,13,36.76,477.88,ChocoFranq 4,Catarina Farias,PR,Online
2024-03-22,Chocolate 70% Cacau,9,43.21,388.89,ChocoFranq 2,Maria Fernanda Costa,PR,Franquia
2023-06-15,Chocolate 70% Cacau,8,33.49,267.92,ChocoFranq 4,Guilherme Porto,MG,Franquia
2024-02-07,Chocolate Com Caramelo,12,44.89,538.68,ChocoFranq 5,Davi Lucca da Cunha,SP,Franquia
2023-08-16,Chocolate Meio Amargo,1,15.93,15.93,ChocoFranq 7,Davi Lucca da Cunha,RS,Franquia
2023-04-10,Chocolate Com Amêndoas,17,20.68,351.56,ChocoFranq 4,Dr. Enzo Gabriel Fogaça,PR,Online
2023-07-03,Chocolate Ao Leite,10,37.49,374.9,ChocoFranq 2,Marcela Dias,RS,Online
2023-08-18,Chocolate 70% Cacau,19,31.11,591.09,ChocoFranq 2,Leandro Oliveira,PE,Franquia
2024-01-18,Chocolate Com Caramelo,7,48.23,337.61,ChocoFranq 4,Sr. Breno Silva,BA,Franquia
2024-04-23,Chocolate Com Caramelo,16,27.4,438.4,ChocoFranq 6,João Gabriel Cavalcanti,DF,Franquia
2023-11-30,Chocolate Com Caramelo,4,38.69,154.76,ChocoFranq 7,Isaac Costa,MG,Online
2023-08-01,Chocolate Ao Leite,20,9.15,183.0,ChocoFranq 7,Dr. Enzo Gabriel Fogaça,SC,Online
2023-05-04,Chocolate Com Avelã,15,34.74,521.1,ChocoFranq 4,Davi Lucas Costa,CE,Franquia
2023-05-05,Chocolate Trufado,11,7.51,82.61,ChocoFranq 1,Nicole Rodrigues,MG,Online
2023-07-04,Chocolate 70% Cacau,20,22.4,448.0,ChocoFranq 7,Kamilly Sales,MG,Franquia
2024-04-19,Chocolate Trufado,10,23.69,236.9,ChocoFranq 10,Ana Júlia Santos,SC,Franquia
2023-03-06,Chocolate Com Morango,2,10.32,20.64,ChocoFranq 8,Rafaela Peixoto,PR,Online
2024-02-25,Chocolate Meio Amargo,7,47.06,329.42,ChocoFranq 10,Guilherme Porto,RS,Franquia
2023-10-04,Chocolate 70% Cacau,1,48.76,48.76,ChocoFranq 2,Olivia da Mota,DF,Online
2023-10-24,Chocolate 70% Cacau,10,48.88,488.8,ChocoFranq 9,Alexandre Freitas,DF,Online
2023-12-07,Chocolate Diet,9,12.33,110.97,ChocoFranq 5,Rafaela Peixoto,CE,Franquia
2023-05-29,Chocolate Com Avelã,17,39.04,663.68,ChocoFranq 2,Rafael Moura,BA,Online
2023-09-16,Chocolate Com Avelã,6,43.08,258.48,ChocoFranq 4,Valentina Teixeira,PE,Franquia
2023-10-31,Chocolate Com Avelã,11,25.01,275.11,ChocoFranq 3,João Gabriel Cavalcanti,DF,Online
2023-02-18,Chocolate Branco,19,36.4,691.6,ChocoFranq 5,Marcela Dias,RS,Franquia
2023-01-07,Chocolate Com Menta,16,44.47,711.52,ChocoFranq 9,Nicole Rodrigues,RJ,Franquia
2024-03-19,Chocolate Com Avelã,20,39.15,783.0,ChocoFranq 9,Nicole Rodrigues,RJ,Online
2023-10-21,Chocolate Com Avelã,12,7.07,84.84,ChocoFranq 4,Marcela Dias,SC,Franquia
2023-04-15,Chocolate Com Amêndoas,7,10.76,75.32,ChocoFranq 2,Lorenzo Silva,SP,Online
2023-06-21,Chocolate Zero Açúcar,18,10.98,197.64,ChocoFranq 2,Calebe Freitas,MG,Franquia
2023-09-01,Chocolate Meio Amargo,5,38.77,193.85,ChocoFranq 7,Dr. Enzo Gabriel Fogaça,CE,Online
2023-01-30,Chocolate Meio Amargo,8,48.16,385.28,ChocoFranq 8,Juliana Pinto,SP,Franquia
2023-12-06,Chocolate Trufado,5,23.98,119.9,ChocoFranq 6,Fernando Silva,MG,Online
2023-10-31,Chocolate Com Amêndoas,18,34.88,627.84,ChocoFranq 3,Nicole Rodrigues,PE,Online
2023-08-16,Chocolate Zero Açúcar,5,48.91,244.55,ChocoFranq 5,João Gabriel Cavalcanti,MG,Online
2023-12-08,Chocolate Diet,12,13.38,160.56,ChocoFranq 8,Juliana Farias,DF,Online
2024-02-02,Chocolate Branco,14,33.33,466.62,ChocoFranq 8,Nicolas Rezende,MG,Franquia
2023-05-31,Chocolate Recheado,15,35.46,531.9,ChocoFranq 1,Catarina Farias,PE,Online
2024-02-27,Chocolate Vegano,3,10.78,32.34,ChocoFranq 4,Nicole Rodrigues,DF,Online
2023-12-24,Chocolate Zero Açúcar,1,25.59,25.59,ChocoFranq 3,Leandro Oliveira,MG,Franquia
2023-09-07,Chocolate 70% Cacau,17,14.37,244.29,ChocoFranq 6,Sr. Breno Silva,SC,Online
2023-08-24,Chocolate Meio Amargo,13,20.36,264.68,ChocoFranq 1,Maria Fernanda Costa,PR,Online
2023-12-24,Chocolate Com Caramelo,7,13.03,91.21,ChocoFranq 7,Leandro Oliveira,RS,Online
2023-06-01,Chocolate Diet,12,7.0,84.0,ChocoFranq 3,Nicolas Rezende,RS,Franquia
2023-07-20,Chocolate Com Castanha,13,45.55,592.15,ChocoFranq 10,Henrique Araújo,RS,Franquia
2023-04-22,Chocolate Com Morango,2,9.37,18.74,ChocoFranq 5,Guilherme Porto,RS,Franquia
2023-08-11,Chocolate Zero Açúcar,11,46.44,510.84,ChocoFranq 5,Fernando Silva,PE,Online
2023-04-14,Chocolate 70% Cacau,19,45.74,869.06,ChocoFranq 8,Dr. Ryan Caldeira,MG,Online
2023-10-02,Chocolate Zero Açúcar,14,19.4,271.6,ChocoFranq 5,Isadora Moura,PR,Online
2023-03-06,Chocolate Ao Leite,6,38.83,232.98,ChocoFranq 5,Catarina Farias,SP,Franquia
2023-09-14,Chocolate Com Menta,8,7.06,56.48,ChocoFranq 4,Catarina Farias,CE,Franquia
2024-01-06,Chocolate Meio Amargo,20,8.13,162.6,ChocoFranq 4,Dr. Ryan Caldeira,DF,Franquia
2023-04-13,Chocolate Com Morango,16,33.94,543.04,ChocoFranq 6,Leandro Moreira,SC,Online
2023-11-11,Chocolate Diet,7,7.66,53.62,ChocoFranq 1,Maria Fernanda Costa,RS,Online
2023-01-23,Chocolate Com Amêndoas,19,32.65,620.35,ChocoFranq 5,Kamilly Sales,RS,Online
2023-01-27,Chocolate Meio Amargo,18,42.68,768.24,ChocoFranq 2,Isaac Costa,RJ,Online
2023-08-19,Chocolate Recheado,18,28.46,512.28,ChocoFranq 3,Rafaela Peixoto,RJ,Online
2023-03-04,Chocolate Zero Açúcar,13,16.62,216.06,ChocoFranq 8,Dr. Enzo Gabriel Fogaça,RJ,Franquia
2023-10-29,Chocolate Com Avelã,18,40.81,734.58,ChocoFranq 3,Isaac Costa,RJ,Franquia
2024-01-16,Chocolate Vegano,2,30.23,60.46,ChocoFranq 9,Maria Fernanda Costa,RJ,Franquia
2023-11-02,Chocolate Zero Açúcar,20,11.69,233.8,ChocoFranq 6,Isaac Costa,RS,Franquia
2024-04-26,Chocolate Ao Leite,7,17.43,122.01,ChocoFranq 2,Rafaela Peixoto,DF,Franquia
2023-10-02,Chocolate Com Menta,13,23.34,303.42,ChocoFranq 5,Isadora Moura,PR,Franquia
2023-05-12,Chocolate Recheado,3,30.05,90.15,ChocoFranq 1,Rafael Moura,BA,Franquia
2023-04-13,Chocolate 70% Cacau,13,17.54,228.02,ChocoFranq 4,Nicolas Rezende,PR,Online
2023-07-02,Chocolate Com Caramelo,6,6.09,36.54,ChocoFranq 3,Rafael Moura,DF,Franquia
2023-04-09,Chocolate Branco,9,36.68,330.12,ChocoFranq 9,Valentina Teixeira,MG,Online
2023-02-09,Chocolate 70% Cacau,19,24.43,464.17,ChocoFranq 3,Luiz Gustavo Carvalho,SP,Online
2023-06-30,Chocolate 70% Cacau,11,45.73,503.03,ChocoFranq 1,João Gabriel Cavalcanti,PR,Online
2024-04-15,Chocolate Branco,4,9.02,36.08,ChocoFranq 1,Davi Lucas Costa,BA,Franquia
2023-12-31,Chocolate Recheado,3,7.0,21.0,ChocoFranq 2,Juliana Farias,PR,Online
2023-08-01,Chocolate Zero Açúcar,8,17.75,142.0,ChocoFranq 10,João Gabriel Cavalcanti,RS,Online
2023-10-07,Chocolate Zero Açúcar,18,28.81,518.58,ChocoFranq 7,Davi Lucca da Cunha,PE,Franquia
2023-03-27,Chocolate Com Amêndoas,11,14.44,158.84,ChocoFranq 2,Leandro Oliveira,CE,Franquia
2024-04-02,Chocolate Recheado,13,19.1,248.3,ChocoFranq 9,Juliana Pinto,RJ,Online
2023-08-27,Chocolate Com Caramelo,5,20.46,102.3,ChocoFranq 6,Henrique Araújo,PE,Online
2023-07-21,Chocolate Com Menta,15,33.77,506.55,ChocoFranq 6,Isadora Moura,SP,Franquia
2024-05-06,Chocolate Branco,14,9.77,136.78,ChocoFranq 1,Maria Fernanda Costa,PR,Online
2024-02-25,Chocolate Com Castanha,16,32.28,516.48,ChocoFranq 9,Nicole Rodrigues,DF,Franquia
2023-02-16,Chocolate Com Menta,2,13.17,26.34,ChocoFranq 7,João Gabriel Cavalcanti,CE,Franquia
2024-03-24,Chocolate Vegano,19,44.16,839.04,ChocoFranq 8,Sr. Breno Silva,BA,Franquia
2023-04-27,Chocolate Com Castanha,2,30.37,60.74,ChocoFranq 9,Sr. Breno Silva,PE,Franquia
2023-11-23,Chocolate Recheado,3,29.56,88.68,ChocoFranq 4,Rafaela Peixoto,RS,Online
2023-04-14,Chocolate Vegano,10,44.72,447.2,ChocoFranq 3,Maria Fernanda Costa,PE,Online
2023-03-02,Chocolate Trufado,9,26.0,234.0,ChocoFranq 10,Dr. Enzo Gabriel Fogaça,PR,Online
2023-01-06,Chocolate Recheado,8,28.52,228.16,ChocoFranq 4,Lorenzo Silva,BA,Franquia
2024-03-13,Chocolate Branco,17,18.41,312.97,ChocoFranq 10,Alexandre Freitas,RJ,Franquia
2024-02-20,Chocolate Com Morango,11,44.19,486.09,ChocoFranq 2,Davi Lucca da Cunha,MG,Franquia
2024-05-10,Chocolate Com Menta,6,35.93,215.58,ChocoFranq 6,Davi Lucca da Cunha,PE,Franquia
2024-04-27,Chocolate Ao Leite,19,19.9,378.1,ChocoFranq 3,Henrique Araújo,PR,Franquia
2023-06-12,Chocolate Diet,11,18.52,203.72,ChocoFranq 10,Maria Fernanda Costa,BA,Franquia
2023-10-29,Chocolate 70% Cacau,2,37.68,75.36,ChocoFranq 10,Leandro Moreira,CE,Online
2024-01-07,Chocolate Com Caramelo,12,24.98,299.76,ChocoFranq 5,Henrique Araújo,SC,Online
2023-03-24,Chocolate Ao Leite,12,34.24,410.88,ChocoFranq 2,Fernando Silva,PE,Franquia
2024-04-05,Chocolate Ao Leite,2,34.09,68.18,ChocoFranq 1,Leandro Oliveira,SC,Franquia
2023-07-12,Chocolate Com Avelã,6,40.61,243.66,ChocoFranq 10,Sr. Breno Silva,PE,Online
2024-04-03,Chocolate Vegano,10,47.51,475.1,ChocoFranq 2,Juliana Farias,CE,Franquia
2023-03-08,Chocolate Trufado,3,30.69,92.07,ChocoFranq 5,Juliana Pinto,SP,Online
2023-11-05,Chocolate Com Morango,20,5.62,112.4,ChocoFranq 8,Leandro Moreira,RS,Franquia
2023-07-11,Chocolate Ao Leite,3,23.27,69.81,ChocoFranq 5,Olivia da Mota,DF,Franquia
2024-05-13,Chocolate Vegano,9,15.38,138.42,ChocoFranq 4,Dr. Ryan Caldeira,PR,Online
2023-12-27,Chocolate Branco,19,17.03,323.57,ChocoFranq 2,Ana Júlia Santos,SC,Online
2024-03-23,Chocolate Com Caramelo,11,5.74,63.14,ChocoFranq 4,Nicolas Rezende,BA,Franquia
2023-08-11,Chocolate Recheado,17,35.09,596.53,ChocoFranq 2,Nicolas Rezende,SC,Online
2023-12-01,Chocolate 70% Cacau,7,24.77,173.39,ChocoFranq 7,Davi Lucca da Cunha,PR,Franquia
2023-04-29,Chocolate Branco,1,29.58,29.58,ChocoFranq 5,Rafaela Peixoto,MG,Franquia
2023-07-30,Chocolate Meio Amargo,2,22.6,45.2,ChocoFranq 3,Maria Fernanda Costa,BA,Franquia
2023-04-15,Chocolate Com Amêndoas,7,5.13,35.91,ChocoFranq 4,Maria Fernanda Costa,PR,Franquia
2024-03-22,Chocolate Com Castanha,3,38.93,116.79,ChocoFranq 2,Juliana Farias,PR,Online
2023-12-04,Chocolate Vegano,7,23.01,161.07,ChocoFranq 4,Juliana Farias,PE,Franquia
2023-06-23,Chocolate Zero Açúcar,13,22.46,291.98,ChocoFranq 8,Alexandre Freitas,PE,Online
2023-04-15,Chocolate Com Avelã,8,15.18,121.44,ChocoFranq 2,Rafael Moura,DF,Franquia
2023-01-28,Chocolate Branco,9,5.33,47.97,ChocoFranq 1,Lorenzo Silva,BA,Online
2023-10-26,Chocolate Trufado,7,42.28,295.96,ChocoFranq 5,Guilherme Porto,PR,Franquia
2024-04-02,Chocolate Com Avelã,11,11.92,131.12,ChocoFranq 3,Valentina Teixeira,MG,Online
2023-06-07,Chocolate Zero Açúcar,7,31.85,222.95,ChocoFranq 4,Marcela Dias,CE,Online
2023-09-15,Chocolate Com Avelã,3,47.61,142.83,ChocoFranq 9,Guilherme Porto,RJ,Online
2024-05-08,Chocolate Branco,9,43.31,389.79,ChocoFranq 6,Leandro Moreira,PR,Franquia
2023-08-23,Chocolate Com Morango,19,39.21,744.99,ChocoFranq 3,Ana Júlia Santos,SP,Franquia
2024-04-28,Chocolate Com Avelã,3,10.76,32.28,ChocoFranq 1,Henrique Araújo,PE,Franquia
2023-11-01,Chocolate Branco,10,25.51,255.1,ChocoFranq 6,Marcela Dias,SP,Franquia
2023-01-20,Chocolate Ao Leite,2,45.92,91.84,ChocoFranq 1,Dr. Enzo Gabriel Fogaça,MG,Online
2023-09-27,Chocolate Com Avelã,8,17.67,141.36,ChocoFranq 4,Dr. Ryan Caldeira,CE,Franquia
2023-11-04,Chocolate Branco,9,45.46,409.14,ChocoFranq 1,Isadora Moura,RJ,Franquia
2023-04-13,Chocolate Zero Açúcar,5,48.34,241.7,ChocoFranq 1,Marcela Dias,RS,Online
2023-01-29,Chocolate Com Castanha,16,5.0,80.0,ChocoFranq 10,Ana Júlia Santos,PR,Online
2023-02-16,Chocolate Zero Açúcar,16,36.58,585.28,ChocoFranq 2,Henrique Araújo,PE,Online
2024-05-08,Chocolate Vegano,20,49.66,993.2,ChocoFranq 6,Nicolas Rezende,RS,Franquia
2024-04-27,Chocolate Ao Leite,4,36.59,146.36,ChocoFranq 2,Fernando Silva,PR,Franquia
2023-07-04,Chocolate Com Castanha,2,45.05,90.1,ChocoFranq 2,Maria Fernanda Costa,RS,Online
2023-04-05,Chocolate Com Castanha,20,40.89,817.8,ChocoFranq 1,Nicole Rodrigues,RS,Franquia
2023-08-13,Chocolate Ao Leite,4,28.39,113.56,ChocoFranq 2,Juliana Farias,BA,Online
2023-07-21,Chocolate Meio Amargo,10,17.57,175.7,ChocoFranq 10,Rafael Moura,SP,Franquia
2023-03-10,Chocolate Com Caramelo,10,41.84,418.4,ChocoFranq 2,Nicole Rodrigues,RJ,Online
2023-02-07,Chocolate Com Castanha,7,35.32,247.24,ChocoFranq 8,Davi Lucca da Cunha,CE,Franquia
2024-02-10,Chocolate Zero Açúcar,14,23.09,323.26,ChocoFranq 10,Calebe Freitas,SC,Franquia
2024-01-29,Chocolate Com Caramelo,4,23.97,95.88,ChocoFranq 1,Leandro Moreira,SP,Franquia
2023-12-01,Chocolate 70% Cacau,4,38.86,155.44,ChocoFranq 5,Davi Lucca da Cunha,CE,Franquia
2023-06-01,Chocolate Recheado,6,10.5,63.0,ChocoFranq 3,Sr. Breno Silva,BA,Franquia
2024-04-15,Chocolate Recheado,18,17.39,313.02,ChocoFranq 5,Davi Lucca da Cunha,RJ,Franquia
2023-02-08,Chocolate Com Amêndoas,15,19.23,288.45,ChocoFranq 1,Kamilly Sales,SC,Online
2023-05-13,Chocolate Vegano,9,38.41,345.69,ChocoFranq 9,Fernando Silva,PE,Online
2023-03-03,Chocolate Com Amêndoas,12,37.99,455.88,ChocoFranq 9,Ana Júlia Santos,RS,Online
2023-11-15,Chocolate Branco,7,28.57,199.99,ChocoFranq 10,Ana Júlia Santos,PE,Franquia
2024-05-05,Chocolate Recheado,18,6.69,120.42,ChocoFranq 6,Davi Lucas Costa,CE,Online
2023-09-26,Chocolate Com Menta,13,17.88,232.44,ChocoFranq 4,Ana Júlia Santos,CE,Franquia
2024-03-28,Chocolate Recheado,14,20.63,288.82,ChocoFranq 3,Juliana Pinto,PR,Franquia
2023-07-02,Chocolate 70% Cacau,4,39.53,158.12,ChocoFranq 10,Isadora Moura,DF,Online
2023-09-16,Chocolate Com Menta,12,6.0,72.0,ChocoFranq 6,Marcela Dias,RJ,Online
2023-10-24,Chocolate Com Castanha,11,9.47,104.17,ChocoFranq 2,Juliana Pinto,SC,Franquia
2023-03-21,Chocolate Com Menta,12,24.86,298.32,ChocoFranq 10,Guilherme Porto,SP,Online
2023-05-03,Chocolate Com Menta,11,32.04,352.44,ChocoFranq 2,Isadora Moura,PE,Franquia
2023-01-23,Chocolate Com Caramelo,16,13.39,214.24,ChocoFranq 5,Davi Lucca da Cunha,SC,Franquia
2023-04-20,Chocolate Branco,17,8.53,145.01,ChocoFranq 7,Ana Júlia Santos,CE,Franquia
2023-08-11,Chocolate Com Menta,20,28.49,569.8,ChocoFranq 2,Calebe Freitas,CE,Online
2024-05-08,Chocolate Vegano,15,9.49,142.35,ChocoFranq 7,Davi Lucas Costa,PR,Franquia
2023-06-07,Chocolate Com Castanha,5,20.84,104.2,ChocoFranq 9,Olivia da Mota,RJ,Online
2023-03-02,Chocolate Zero Açúcar,11,44.38,488.18,ChocoFranq 8,Dr. Ryan Caldeira,CE,Franquia
2023-02-02,Chocolate Meio Amargo,16,23.37,373.92,ChocoFranq 2,Isadora Moura,MG,Online
2023-09-05,Chocolate Branco,7,45.48,318.36,ChocoFranq 6,Alexandre Freitas,RS,Online
2023-05-07,Chocolate Com Avelã,7,24.25,169.75,ChocoFranq 8,Juliana Pinto,RJ,Franquia
2023-08-02,Chocolate Trufado,16,45.79,732.64,ChocoFranq 9,Davi Lucca da Cunha,CE,Online
2023-09-15,Chocolate Trufado,12,34.7,416.4,ChocoFranq 4,Leandro Moreira,RS,Online
2023-11-08,Chocolate Diet,7,35.71,249.97,ChocoFranq 2,Juliana Pinto,RS,Online
2023-11-05,Chocolate Meio Amargo,15,13.38,200.7,ChocoFranq 6,João Gabriel Cavalcanti,BA,Franquia
2024-04-22,Chocolate Com Morango,10,38.51,385.1,ChocoFranq 6,Leandro Oliveira,CE,Online
2023-03-25,Chocolate Meio Amargo,13,41.0,533.0,ChocoFranq 3,Olivia da Mota,SP,Franquia
2023-01-13,Chocolate Com Avelã,5,25.39,126.95,ChocoFranq 3,Catarina Farias,BA,Franquia
2024-04-17,Chocolate Com Morango,12,15.53,186.36,ChocoFranq 6,Maria Fernanda Costa,CE,Franquia
2023-09-03,Chocolate Zero Açúcar,17,31.77,540.09,ChocoFranq 5,Guilherme Porto,DF,Franquia
